timestamp,temperature,pressure,vibration,humidity,equipment
2025-01-01 00:00:00,60.00,30.00,1.000,50.00,VacuumSystem
2025-01-01 00:00:01,60.10,30.05,1.005,50.20,VacuumSystem
2025-01-01 00:00:02,60.20,30.10,1.010,50.40,VacuumSystem
2025-01-01 00:00:03,60.30,30.15,1.015,50.60,VacuumSystem
2025-01-01 00:00:04,60.40,30.20,1.020,50.80,VacuumSystem
2025-01-01 00:00:05,60.50,30.25,1.025,51.00,VacuumSystem
2025-01-01 00:00:06,60.60,30.30,1.030,51.20,VacuumSystem
2025-01-01 00:00:07,60.70,30.35,1.035,51.40,VacuumSystem
2025-01-01 00:00:08,60.80,30.40,1.040,51.60,VacuumSystem
2025-01-01 00:00:09,60.90,30.45,1.045,51.80,VacuumSystem
2025-01-01 00:00:10,61.00,30.50,1.050,52.00,VacuumSystem
2025-01-01 00:00:11,61.10,30.55,1.055,52.20,VacuumSystem
2025-01-01 00:00:12,61.20,30.60,1.060,52.40,VacuumSystem
2025-01-01 00:00:13,61.30,30.65,1.065,52.60,VacuumSystem
2025-01-01 00:00:14,61.40,30.70,1.070,52.80,VacuumSystem
2025-01-01 00:00:15,61.50,30.75,1.075,53.00,VacuumSystem
2025-01-01 00:00:16,61.60,30.80,1.080,53.20,VacuumSystem
2025-01-01 00:00:17,61.70,30.85,1.085,53.40,VacuumSystem
2025-01-01 00:00:18,61.80,30.90,1.090,53.60,VacuumSystem
2025-01-01 00:00:19,61.90,30.95,1.095,53.80,VacuumSystem
2025-01-01 00:00:20,62.00,31.00,1.100,54.00,VacuumSystem
2025-01-01 00:00:21,62.10,31.05,1.105,54.20,VacuumSystem
2025-01-01 00:00:22,62.20,31.10,1.110,54.40,VacuumSystem
2025-01-01 00:00:23,62.30,31.15,1.115,54.60,VacuumSystem
2025-01-01 00:00:24,62.40,31.20,1.120,54.80,VacuumSystem
2025-01-01 00:00:25,62.50,31.25,1.125,55.00,VacuumSystem
2025-01-01 00:00:26,62.60,31.30,1.130,55.20,VacuumSystem
2025-01-01 00:00:27,62.70,31.35,1.135,55.40,VacuumSystem
2025-01-01 00:00:28,62.80,31.40,1.140,55.60,VacuumSystem
2025-01-01 00:00:29,62.90,31.45,1.145,55.80,VacuumSystem
2025-01-01 00:00:30,63.00,31.50,1.150,56.00,VacuumSystem
2025-01-01 00:00:31,63.10,31.55,1.155,56.20,VacuumSystem
2025-01-01 00:00:32,63.20,31.60,1.160,56.40,VacuumSystem
2025-01-01 00:00:33,63.30,31.65,1.165,56.60,VacuumSystem
2025-01-01 00:00:34,63.40,31.70,1.170,56.80,VacuumSystem
2025-01-01 00:00:35,63.50,31.75,1.175,57.00,VacuumSystem
2025-01-01 00:00:36,63.60,31.80,1.180,57.20,VacuumSystem
2025-01-01 00:00:37,63.70,31.85,1.185,57.40,VacuumSystem
2025-01-01 00:00:38,63.80,31.90,1.190,57.60,VacuumSystem
2025-01-01 00:00:39,63.90,31.95,1.195,57.80,VacuumSystem
2025-01-01 00:00:40,64.00,32.00,1.200,58.00,VacuumSystem
2025-01-01 00:00:41,64.10,32.05,1.205,58.20,VacuumSystem
2025-01-01 00:00:42,64.20,32.10,1.210,58.40,VacuumSystem
2025-01-01 00:00:43,64.30,32.15,1.215,58.60,VacuumSystem
2025-01-01 00:00:44,64.40,32.20,1.220,58.80,VacuumSystem
2025-01-01 00:00:45,64.50,32.25,1.225,59.00,VacuumSystem
2025-01-01 00:00:46,64.60,32.30,1.230,59.20,VacuumSystem
2025-01-01 00:00:47,64.70,32.35,1.235,59.40,VacuumSystem
2025-01-01 00:00:48,64.80,32.40,1.240,59.60,VacuumSystem
2025-01-01 00:00:49,64.90,32.45,1.245,59.80,VacuumSystem
2025-01-01 00:00:50,65.00,32.50,1.250,60.00,VacuumSystem
2025-01-01 00:00:51,65.10,32.55,1.255,60.20,VacuumSystem
2025-01-01 00:00:52,65.20,32.60,1.260,60.40,VacuumSystem
2025-01-01 00:00:53,65.30,32.65,1.265,60.60,VacuumSystem
2025-01-01 00:00:54,65.40,32.70,1.270,60.80,VacuumSystem
2025-01-01 00:00:55,65.50,32.75,1.275,61.00,VacuumSystem
2025-01-01 00:00:56,65.60,32.80,1.280,61.20,VacuumSystem
2025-01-01 00:00:57,65.70,32.85,1.285,61.40,VacuumSystem
2025-01-01 00:00:58,65.80,32.90,1.290,61.60,VacuumSystem
2025-01-01 00:00:59,65.90,32.95,1.295,61.80,VacuumSystem
2025-01-01 00:01:00,66.00,33.00,1.300,62.00,VacuumSystem
2025-01-01 00:01:01,66.10,33.05,1.305,62.20,VacuumSystem
2025-01-01 00:01:02,66.20,33.10,1.310,62.40,VacuumSystem
2025-01-01 00:01:03,66.30,33.15,1.315,62.60,VacuumSystem
2025-01-01 00:01:04,66.40,33.20,1.320,62.80,VacuumSystem
2025-01-01 00:01:05,66.50,33.25,1.325,63.00,VacuumSystem
2025-01-01 00:01:06,66.60,33.30,1.330,63.20,VacuumSystem
2025-01-01 00:01:07,66.70,33.35,1.335,63.40,VacuumSystem
2025-01-01 00:01:08,66.80,33.40,1.340,63.60,VacuumSystem
2025-01-01 00:01:09,66.90,33.45,1.345,63.80,VacuumSystem
2025-01-01 00:01:10,67.00,33.50,1.350,64.00,VacuumSystem
2025-01-01 00:01:11,67.10,33.55,1.355,64.20,VacuumSystem
